id,PBS_001_RAW,PBS_002_RAW,PBS_003_RAW,PBS_004_RAW,PBS_005_RAW,PBS_006_RAW,PBS_007_RAW,PBS_008_RAW,PBS_009_RAW,PBS_010_RAW,PBS_011_RAW,PBS_012_RAW,PBS_013_RAW,PBS_014_RAW,PBS_015_RAW,PBS_016_RAW,PBS_017_RAW,PBS_018_RAW,PBS_019_RAW,PBS_020_RAW,PBS_021_RAW,PBS_022_RAW,PBS_023_RAW,PBS_024_RAW,PBS_025_RAW,PBS_026_RAW,PBS_001_DIR,PBS_002_DIR,PBS_003_DIR,PBS_004_DIR,PBS_005_DIR,PBS_006_DIR,PBS_007_DIR,PBS_008_DIR,PBS_009_DIR,PBS_010_DIR,PBS_011_DIR,PBS_012_DIR,PBS_013_DIR,PBS_014_DIR,PBS_015_DIR,PBS_016_DIR,PBS_017_DIR,PBS_018_DIR,PBS_019_DIR,PBS_020_DIR,PBS_021_DIR,PBS_022_DIR,PBS_023_DIR,PBS_024_DIR,PBS_025_DIR,PBS_026_DIR,PBS_RAW_NA,PBS_DIR_NA,PBS_CreenciasReligiosasTradicionales_DIRd,PBS_psi_DIRd,PBS_brujeria_DIRd,PBS_supersticion_DIRd,PBS_espiritismo_DIRd,PBS_FormasVidaExtraordinaria_DIRd,PBS_precognicion_DIRd,PBS_DIRt
082yon1f8s,1 Muy en desacuerdo,2 Moderadamente en desacuerdo,7 Muy de acuerdo,2 Moderadamente en desacuerdo,5 Un poco de acuerdo,1 Muy en desacuerdo,7 Muy de acuerdo,2 Moderadamente en desacuerdo,7 Muy de acuerdo,5 Un poco de acuerdo,4 No sé / No tengo certeza,3 Un poco en desacuerdo,4 No sé / No tengo certeza,5 Un poco de acuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,3 Un poco en desacuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,5 Un poco de acuerdo,2 Moderadamente en desacuerdo,2 Moderadamente en desacuerdo,3 Un poco en desacuerdo,4 No sé / No tengo certeza,3 Un poco en desacuerdo,5 Un poco de acuerdo,1,2,7,2,5,1,7,2,7,5,4,3,4,5,6,2,3,6,2,5,2,2,5,4,3,5,0,0,2.75,4,4.75,4,3.25,3.3333333333333335,4.75,3.8461538461538463
198ffmz813,4 No sé / No tengo certeza,7 Muy de acuerdo,6 Moderadamente de acuerdo,7 Muy de acuerdo,5 Un poco de acuerdo,4 No sé / No tengo certeza,1 Muy en desacuerdo,4 No sé / No tengo certeza,4 No sé / No tengo certeza,5 Un poco de acuerdo,2 Moderadamente en desacuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,5 Un poco de acuerdo,4 No sé / No tengo certeza,5 Un poco de acuerdo,5 Un poco de acuerdo,2 Moderadamente en desacuerdo,4 No sé / No tengo certeza,2 Moderadamente en desacuerdo,2 Moderadamente en desacuerdo,1 Muy en desacuerdo,7 Muy de acuerdo,2 Moderadamente en desacuerdo,7 Muy de acuerdo,1 Muy en desacuerdo,4,7,6,7,5,4,1,4,4,5,2,6,2,5,4,5,5,2,4,2,2,1,1,2,7,1,0,0,3.25,4.25,4.5,3.6666666666666665,5.5,2.6666666666666665,2.25,3.769230769230769
1cz3j0oygl,7 Muy de acuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,5 Un poco de acuerdo,4 No sé / No tengo certeza,7 Muy de acuerdo,1 Muy en desacuerdo,3 Un poco en desacuerdo,5 Un poco de acuerdo,4 No sé / No tengo certeza,1 Muy en desacuerdo,2 Moderadamente en desacuerdo,4 No sé / No tengo certeza,6 Moderadamente de acuerdo,4 No sé / No tengo certeza,7 Muy de acuerdo,3 Un poco en desacuerdo,4 No sé / No tengo certeza,6 Moderadamente de acuerdo,7 Muy de acuerdo,2 Moderadamente en desacuerdo,1 Muy en desacuerdo,7 Muy de acuerdo,3 Un poco en desacuerdo,5 Un poco de acuerdo,1 Muy en desacuerdo,7,6,2,5,4,7,1,3,5,4,1,2,4,6,4,7,3,4,6,7,2,1,1,3,5,1,0,0,3.75,4.75,3,3.3333333333333335,4.25,6,2.5,3.8846153846153846
1geph65310,4 No sé / No tengo certeza,7 Muy de acuerdo,1 Muy en desacuerdo,7 Muy de acuerdo,2 Moderadamente en desacuerdo,2 Moderadamente en desacuerdo,5 Un poco de acuerdo,1 Muy en desacuerdo,4 No sé / No tengo certeza,5 Un poco de acuerdo,4 No sé / No tengo certeza,1 Muy en desacuerdo,7 Muy de acuerdo,1 Muy en desacuerdo,4 No sé / No tengo certeza,2 Moderadamente en desacuerdo,6 Moderadamente de acuerdo,6 Moderadamente de acuerdo,3 Un poco en desacuerdo,3 Un poco en desacuerdo,1 Muy en desacuerdo,6 Moderadamente de acuerdo,5 Un poco de acuerdo,7 Muy de acuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,4,7,1,7,2,2,5,1,4,5,4,1,7,1,4,2,6,6,3,3,1,6,3,7,6,2,0,0,3.75,4,4.75,5.666666666666667,3,4,2.25,3.8461538461538463
1ql026p3y1,2 Moderadamente en desacuerdo,4 No sé / No tengo certeza,5 Un poco de acuerdo,5 Un poco de acuerdo,2 Moderadamente en desacuerdo,4 No sé / No tengo certeza,1 Muy en desacuerdo,3 Un poco en desacuerdo,7 Muy de acuerdo,6 Moderadamente de acuerdo,7 Muy de acuerdo,3 Un poco en desacuerdo,5 Un poco de acuerdo,2 Moderadamente en desacuerdo,7 Muy de acuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,6 Moderadamente de acuerdo,1 Muy en desacuerdo,5 Un poco de acuerdo,3 Un poco en desacuerdo,4 No sé / No tengo certeza,7 Muy de acuerdo,5 Un poco de acuerdo,3 Un poco en desacuerdo,5 Un poco de acuerdo,2,4,5,5,2,4,1,3,7,6,7,3,5,2,7,6,2,6,1,5,3,4,1,5,3,5,0,0,4,4.5,4.5,6,2.25,4.666666666666667,2.75,4
1zft2e3qp3,6 Moderadamente de acuerdo,6 Moderadamente de acuerdo,6 Moderadamente de acuerdo,6 Moderadamente de acuerdo,3 Un poco en desacuerdo,7 Muy de acuerdo,6 Moderadamente de acuerdo,3 Un poco en desacuerdo,4 No sé / No tengo certeza,1 Muy en desacuerdo,2 Moderadamente en desacuerdo,3 Un poco en desacuerdo,3 Un poco en desacuerdo,3 Un poco en desacuerdo,4 No sé / No tengo certeza,2 Moderadamente en desacuerdo,3 Un poco en desacuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,4 No sé / No tengo certeza,7 Muy de acuerdo,2 Moderadamente en desacuerdo,2 Moderadamente en desacuerdo,5 Un poco de acuerdo,6,6,6,6,3,7,6,3,4,1,2,3,3,3,4,2,3,6,2,6,2,4,1,2,2,5,0,0,4.25,3.25,3,4.666666666666667,2.5,5.333333333333333,4,3.769230769230769
1zzo6hstkp,4 No sé / No tengo certeza,5 Un poco de acuerdo,4 No sé / No tengo certeza,5 Un poco de acuerdo,1 Muy en desacuerdo,6 Moderadamente de acuerdo,6 Moderadamente de acuerdo,3 Un poco en desacuerdo,5 Un poco de acuerdo,3 Un poco en desacuerdo,1 Muy en desacuerdo,1 Muy en desacuerdo,6 Moderadamente de acuerdo,7 Muy de acuerdo,4 No sé / No tengo certeza,5 Un poco de acuerdo,1 Muy en desacuerdo,5 Un poco de acuerdo,7 Muy de acuerdo,4 No sé / No tengo certeza,5 Un poco de acuerdo,5 Un poco de acuerdo,7 Muy de acuerdo,1 Muy en desacuerdo,4 No sé / No tengo certeza,2 Moderadamente en desacuerdo,4,5,4,5,1,6,6,3,5,3,1,1,6,7,4,5,1,5,7,4,5,5,1,1,4,2,0,0,4,4,2.25,3.6666666666666665,3.25,5.333333333333333,5,3.8846153846153846
22eggg60y0,1 Muy en desacuerdo,7 Muy de acuerdo,6 Moderadamente de acuerdo,6 Moderadamente de acuerdo,6 Moderadamente de acuerdo,4 No sé / No tengo certeza,1 Muy en desacuerdo,5 Un poco de acuerdo,7 Muy de acuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,5 Un poco de acuerdo,5 Un poco de acuerdo,7 Muy de acuerdo,5 Un poco de acuerdo,1 Muy en desacuerdo,6 Moderadamente de acuerdo,4 No sé / No tengo certeza,4 No sé / No tengo certeza,7 Muy de acuerdo,2 Moderadamente en desacuerdo,4 No sé / No tengo certeza,1 Muy en desacuerdo,1 Muy en desacuerdo,4 No sé / No tengo certeza,7 Muy de acuerdo,1,7,6,6,6,4,1,5,7,6,2,5,5,7,5,1,6,4,4,7,2,4,7,1,4,7,0,0,3.75,5.5,4.75,4,4.75,5.333333333333333,4.25,4.615384615384615
22j8z6m295,6 Moderadamente de acuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,7 Muy de acuerdo,3 Un poco en desacuerdo,3 Un poco en desacuerdo,6 Moderadamente de acuerdo,5 Un poco de acuerdo,6 Moderadamente de acuerdo,4 No sé / No tengo certeza,2 Moderadamente en desacuerdo,1 Muy en desacuerdo,2 Moderadamente en desacuerdo,3 Un poco en desacuerdo,1 Muy en desacuerdo,6 Moderadamente de acuerdo,7 Muy de acuerdo,3 Un poco en desacuerdo,1 Muy en desacuerdo,6 Moderadamente de acuerdo,3 Un poco en desacuerdo,5 Un poco de acuerdo,4 No sé / No tengo certeza,4 No sé / No tengo certeza,7 Muy de acuerdo,7 Muy de acuerdo,6,6,2,7,3,3,6,5,6,4,2,1,2,3,1,6,7,3,1,6,3,5,4,4,7,7,0,0,4.25,5.5,4.25,4,3,3.6666666666666665,4.75,4.230769230769231
2bnosnpjg1,3 Un poco en desacuerdo,1 Muy en desacuerdo,3 Un poco en desacuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,1 Muy en desacuerdo,1 Muy en desacuerdo,5 Un poco de acuerdo,6 Moderadamente de acuerdo,2 Moderadamente en desacuerdo,2 Moderadamente en desacuerdo,6 Moderadamente de acuerdo,1 Muy en desacuerdo,3 Un poco en desacuerdo,4 No sé / No tengo certeza,7 Muy de acuerdo,2 Moderadamente en desacuerdo,7 Muy de acuerdo,4 No sé / No tengo certeza,1 Muy en desacuerdo,1 Muy en desacuerdo,5 Un poco de acuerdo,6 Moderadamente de acuerdo,7 Muy de acuerdo,7 Muy de acuerdo,7 Muy de acuerdo,3,1,3,6,2,1,1,5,6,2,2,6,1,3,4,7,2,7,4,1,1,5,2,7,7,7,0,0,4.25,4,3.5,5,4.75,1,3,3.6923076923076925
